event_number, px, py, pz, E
19 -1.73452 0.737139 -0.115358 1.88818
19 -5.42135 4.97003 -0.261023 7.35938
19 -1.32027 1.27907 -0.109876 1.84153
19 5.30319 10.9655 3.35389 12.6339
19 1.51218 3.23993 1.04065 3.72382
19 1.25105 -2.23427 -0.370395 2.58733
19 0.635354 -0.994014 -0.232064 1.20233
20 -1.25513 0.803836 0.299323 1.52023
20 -1.27472 0.697359 0.20277 1.46708
20 1.97419 3.24861 0.146125 3.80424
20 1.04261 1.91199 0.0778584 2.17918
20 -6.65369 -15.5137 5.17894 17.657
20 -1.00377 -2.36336 0.733685 2.67045
20 6.96436 -5.26976 -1.99826 8.95911
20 3.06675 -2.3073 -0.969499 3.95835
20 -2.48761 -6.55078 1.00296 7.07862
20 -0.423193 -1.27576 0.177665 1.35581
21 -6.90973 -2.63562 -2.10064 7.68788
21 -2.37332 -0.989661 -0.719223 2.67008
21 -1.81015 4.87655 -0.702591 5.24891
21 -1.72103 4.64127 -0.535976 4.97901
21 -1.2899 -9.38157 0.113288 9.4705
21 -0.32624 -2.9248 0.0325726 2.94312
21 -0.0177896 2.37948 0.642213 2.46469
21 0.0296578 1.61695 0.330466 1.65064
21 -1.23403 1.19087 0.256967 1.73408
21 -0.321612 0.330479 0.139294 0.481719
22 -12.0915 2.64979 -1.08919 12.4263
22 -1.59341 0.306569 -0.117106 1.62685
22 14.079 -7.31753 -2.89026 16.1282
22 2.63718 -1.43564 -0.53568 3.05004
22 8.72444 7.42672 0.971755 11.4985
22 2.13723 1.74263 0.202574 2.76506
22 9.8154 1.01927 -2.78812 10.2545
22 9.41248 0.853955 -2.61978 9.80751
22 -9.27555 5.93255 0.851007 11.0433
22 -2.82825 1.85199 0.19574 3.38632
23 4.53228 10.663 0.707237 11.6078
23 1.75937 4.08863 0.190305 4.45516
23 8.8308 -11.3937 -2.03164 14.5577
23 2.97532 -3.86507 -0.60991 4.91561
23 6.14272 -0.169659 1.48112 6.32103
23 2.9349 0.010356 0.688194 3.01452
23 -7.93198 8.74224 0.0184618 11.8044
23 -2.37 2.67466 0.0668201 3.57424
23 -4.09768 -7.78488 -2.38393 9.11473
23 -0.271957 -0.578618 -0.196316 0.668805
24 14.3142 -6.5771 -4.38199 16.351
24 0.26077 -0.131275 -0.0655994 0.299228
24 7.31778 -6.06209 -1.89585 9.68984
24 1.10956 -0.917395 -0.23386 1.45857
24 0.809571 3.41678 1.01922 3.65631
24 0.393954 2.04802 0.661874 2.18808
24 2.54867 10.762 0.277286 11.0632
24 0.134267 0.446854 0.0130811 0.466773
24 -11.2759 2.54625 -0.366097 11.5656
24 -1.58872 0.313846 -0.0764663 1.62123
25 -1.02597 -3.55762 -0.809489 3.79006
25 -0.0110894 -0.0902537 -0.0360879 0.0978317
25 -13.1088 5.43787 3.66338 14.6571
25 -1.90269 0.733922 0.524802 2.10578
25 -11.4054 -4.44618 2.37871 12.4704
25 -2.05506 -0.768147 0.377341 2.22614
25 -7.61323 -4.10489 -2.35824 8.96508
25 -3.77956 -2.1462 -1.19314 4.5072
25 0.644935 -2.68503 0.321274 2.78003
25 0.399246 -1.82074 0.111931 1.86735
26 -2.88776 -2.56811 -0.981514 3.98719
26 -1.92204 -1.66301 -0.753242 2.65089
26 -3.02618 0.195756 0.542125 3.08059
26 -1.58791 0.200859 0.282166 1.62524
26 -0.185477 -1.14295 0.254558 1.18555
26 -0.0515105 -1.15326 0.267436 1.18498
26 -7.27092 -4.55265 -0.356523 8.58603
26 -1.70993 -1.14729 -0.0731659 2.06046
26 -0.778906 14.844 -0.889607 14.891
26 -0.0484807 1.07429 -0.028887 1.07577
27 -2.83522 3.30768 -1.18041 4.5136
27 -0.0373508 0.069532 -0.0281258 0.0837904
27 10.7023 -7.01782 -2.69089 13.0778
27 1.75665 -1.21781 -0.44754 2.18384
27 -9.38303 -0.0403453 -0.780562 9.41552
27 -4.04849 -0.0962364 -0.377641 4.06721
27 -0.0576584 -11.1185 -1.32979 11.1979
27 -0.00706451 -4.8391 -0.491025 4.86395
27 4.19126 5.43351 1.38268 7.00011
27 2.50914 3.08476 0.796821 4.05542
28 -9.3729 6.63591 0.504433 11.4953
28 -5.06628 3.46822 0.288739 6.14647
28 -1.54814 0.0139934 -0.313119 1.57955
28 -1.47237 -0.107037 -0.353393 1.51796
28 -7.42234 -6.41583 -1.65019 9.94872
28 -3.64174 -3.07694 -0.723647 4.82219
28 -0.977286 -7.64531 -0.142203 7.70883
28 -0.450399 -4.29936 -0.0565488 4.32325
28 13.2976 4.00168 0.726281 13.9057
28 3.62845 1.05965 0.134353 3.7824
29 -9.23655 7.89079 1.03076 12.1918
29 -2.64928 2.21912 0.357191 3.4743
29 -1.40414 2.64699 -0.459345 3.03137
29 -0.453661 1.01225 -0.206943 1.1284
29 3.56722 9.73654 1.60666 10.4932
29 0.837331 2.17353 0.412685 2.36552
29 -8.48996 3.41355 -2.74269 9.5527
29 -2.68292 1.15268 -0.909974 3.05856
29 5.41247 -10.2939 -3.38592 12.1129
29 3.03511 -5.56967 -1.81323 6.59704
30 -2.42963 -2.18016 -0.703244 3.33928
30 -2.14938 -1.76428 -0.575289 2.83962
30 7.68242 4.15514 -2.32233 9.03759
30 4.07069 2.22375 -1.33339 4.82634
30 0.872134 10.0438 0.0892938 10.082
30 0.532994 5.69082 -0.0433504 5.71589
30 -3.12065 -10.2218 2.98903 11.0977
30 -0.544576 -1.8088 0.470099 1.94661
30 0.980929 -2.51139 -0.534428 2.74862
30 0.95444 -2.10074 -0.462274 2.35325
31 -8.90183 -2.06237 1.82054 9.31721
31 -0.160494 -0.019029 0.0351793 0.165403
31 2.55814 -4.79196 -0.703238 5.47736
31 0.0762967 -0.125474 -0.0400367 0.15221
31 -3.72636 0.00223586 -0.127947 3.72856
31 -1.3046 0.0686753 -0.00272202 1.30641
31 0.740717 11.1591 -3.09615 11.6043
31 0.457806 5.87961 -1.70665 6.13938
31 11.079 -14.3337 -5.42423 18.9109
31 0.65657 -0.853788 -0.356879 1.13464
32 -0.745323 -1.91663 0.154214 2.06222
32 -0.151956 -0.438018 -0.0269918 0.464412
32 -2.26779 1.50766 0.283611 2.73794
32 -0.689677 0.401262 0.138981 0.809927
32 7.68401 4.3909 0.38317 8.85837
32 5.08833 2.84224 0.34613 5.8386
32 2.02231 -3.52039 0.592582 4.10293
32 0.235736 -0.39039 0.0222256 0.456585
32 0.47854 -1.8881 -0.608628 2.04068
32 0.114034 -0.276094 -0.0613262 0.304946
33 -10.5373 4.73516 1.28253 11.6233
33 -0.965201 0.476829 0.131941 1.08461
33 4.50756 -6.78157 -0.760791 8.17842
33 2.75179 -4.09242 -0.562978 4.96359
33 -3.45547 -0.4337 0.0861515 3.48365
33 -0.00740267 0.00547145 -0.000941287 0.00925323
33 15.5624 -1.6238 0.943958 15.6753
33 2.93084 -0.314823 0.119862 2.95014
33 0.368326 -1.20919 -0.059306 1.26543
33 0.238009 -0.702923 0.0660682 0.74506
34 -3.30904 -3.6541 1.3561 5.11285
34 -0.771014 -0.814141 0.370418 1.18089
34 3.89835 4.79953 -0.738739 6.22723
34 0.821081 0.919834 -0.12888 1.23971
34 0.844817 4.24028 -0.837585 4.404
34 0.422372 1.79994 -0.421816 1.89634
34 -3.92328 0.277683 0.204286 3.9384
34 -0.520504 0.0840726 0.0421847 0.528935
34 2.22343 7.39874 -2.19997 8.03273
34 0.47138 1.64499 -0.549557 1.79728
35 17.6304 -5.72423 -2.92959 18.7665
35 0.763341 -0.272527 -0.11227 0.81827
35 2.18345 -3.58506 -0.582112 4.2378
35 0.137829 -0.212075 -0.0680316 0.261918
35 -8.35478 -7.26442 0.778441 11.0987
35 -4.02571 -3.43163 0.449739 5.30892
35 0.316719 -2.13661 0.118505 2.16321
35 0.245021 -1.68844 -0.0262658 1.70633
35 8.98431 4.57133 -2.72721 10.4428
35 8.47943 4.40063 -2.47433 9.86857
36 -1.53713 -4.74764 0.965435 5.08281
36 -0.419037 -1.35359 0.345335 1.45844
36 -7.03133 -6.9074 1.03792 9.91106
36 -1.31652 -1.25638 0.243664 1.83605
36 -3.67275 4.1629 1.31393 5.70484
36 -0.849992 0.98025 0.373554 1.35016
